panel_code,static,modal_2008_2011,modal_2022_2025
51800,SUP,HTR,SUP
51810,SUP,ESC,SUP
51820,HTR,HTR,SUP
51830,SUP,SUP,SUP
52110,ANC,ANC,ANC
52130,ANC,ANC,ANC
52140,ANC,ANC,ANC
52180,ANC,ANC,ANC
52190,ANC,ANC,ANC
52210,SUP,SUP,ANC
52710,HTR,HTR,LAND
52720,SUP,HTR,SUP
52730,SUP,HTR,ANC
52740,SUP,SUP,SUP
52750,HTR,HTR,SUP
52770,SUP,SUP,SUP
52790,SUP,SUP,SUP
52800,SUP,SUP,ANC
